,verdict,title,url
0,false,Czy w obwodzie ługańskim Ukraińcy rozdawali dzieciom banknoty zakażone lekooporną gruźlicą?,https://twitter.com/netovetz/status/1524417404918546434
1,false,"Czy Andrzej Duda powiedział, że przekazaliśmy Ukrainie większość uzbrojenia naszej armii?",https://twitter.com/MKierwinski/status/1535534534682415105
3,false,Czy po dwóch latach pobytu w Polsce uchodźcy z Ukrainy nabędą prawa wyborcze?,https://twitter.com/PP_now/status/1536033474725003265
4,false,Czy w Australii zatwierdzono wniosek licencyjny firmy PaxVax na szczepionkę GMO rozpylaną z samolotów?,https://twitter.com/ann56502906/status/1535723999640137728
5,false,Czy Ołena Zełenska włączyła się w kampanię na rzecz  wcielenia kobiet do ukraińskiej armii?,https://twitter.com/PiotrAposto/status/1535886372367745025
6,false,Czy MSW Ukrainy ustaliło stawkę za pozwolenie wyjazdu  mężczyznom z Ukrainy?,https://mobile.twitter.com/coolfonpl/status/1535933927369719810
7,false,"Czy to ""motylek śmierci"" z bomby kasetowej, wystrzelonej przez Ukraińców pod Siewierdonieckiem?",https://twitter.com/KacapMSK/status/1530559551644254209/photo/1
9,false,"Czy film pokazuje tuzin karetek, które Polska oddaje Ukrainie?",https://twitter.com/kladdey/status/1534970214135255066
10,false,"Czy, ze względu na „fuzję” Polski i Ukrainy, pomnik ofiar rzezi wołyńskiej nie zostanie odsłonięty 11 lipca?",https://twitter.com/ssr57/status/1534971770201067541
11,false,Czy chipsy na półkach sklepowych w Rosji są z polskich ziemniaków?,https://twitter.com/Kremlinboti/status/1533977595938603008
13,false,Czy uchodźcy po trzech latach uzyskają prawo do obywatelstwa?,https://twitter.com/anty_lewiatan/status/1526561613368766464
14,false,"Czy im dłużej ukraińscy uchodźcy przebywają w Europie, tym większe staje się tam poparcie dla rosyjskiej inwazji?",https://twitter.com/underground1973/status/1534483894979989504
15,false,"Czy to prawda, że Zełenski zakazał działalności opozycji na Ukrainie i przez to zlikwidował tam demokrację?",https://twitter.com/PanasiukPiotr/status/1534555913499160578
16,false,"Czy Finlandia, Łotwa, Estonia, Litwa, Polska, Niemcy, Ukraina, Białoruś, Rumunia, Mołdawia, Bułgaria, Serbia, Azerbejdżan, Armenia, Gruzja, Turkmenistan, Kirgistan, Kazachstan, Chiny, Kuba otrzymały swoje państwo z rąk Rosji?",https://twitter.com/mila130762/status/1525988800765251586
17,false,"Czy wiadomo, że to ukraińscy uchodźcy splądrowali punkt pomocy humanitarnej w Lublinie?",https://twitter.com/Aeronaut_Bel/status/1533939996562006016
18,false,"Czy to zdjęcia amerykańskich najemników walczących na Ukrainie oraz trumien, w których ją opuścili?",https://mobile.twitter.com/komrad_vc2017/status/1533109980466925568/photo/1
19,false,Czy wojska ukraińskie okupują budynek ONZ w Kramatorsku i nie wpuszczają pracowników ani przedstawicieli tej organizacji?,https://twitter.com/DonbassSegodnya/status/1533406736966733824
